program,type,directed,batch,nodes,modifier,diameter,time,clocktime,system,percent,memory,voluntary,involuntary,faults,exit
glp,er,1,0,10,4,3,0.201251,7.77605,0.41,1897%,24516,9026,3299,0,0
snp,er,1,0,10,4,2,0.000135898590088,0.000151,0.03,99%,31596,2,6,0,0
nx,er,0,1,10,4,2,0.000464916229248,0.000478,0.12,52%,26320,8,114,0,0
gl,er,0,1,10,4,2,0.126597,1.82921,0.33,1192%,24900,7163,1609,0,0
gtp,er,0,1,10,4,2.0,0.000322103500366,0.000317,0.15,99%,63132,49,166,0,0
glp,er,0,1,10,4,2,0.16399,6.33109,0.34,1734%,24312,6867,2258,0,0
snp,er,0,1,10,4,2,9.89437103271e-05,0.000121,0.03,99%,31588,2,5,0,0
nx,er,1,1,10,4,3,0.000313997268677,0.000314,0.15,98%,26328,12,9,0,0
gl,er,1,1,10,4,3,0.138672,3.11639,0.35,1118%,24284,7920,1051,0,0
gtp,er,1,1,10,4,3.0,0.000303983688354,0.000301,0.16,99%,63128,38,160,0,0
glp,er,1,1,10,4,3,0.198027,7.10341,0.47,1678%,23108,9022,3493,0,0
snp,er,1,1,10,4,2,0.000105142593384,0.000119,0.01,93%,31596,2,19,0,0
nx,er,0,2,10,4,2,0.000365018844604,0.000367,0.07,86%,26320,23,35,0,0
gl,er,0,2,10,4,2,0.120512,2.38031,0.29,1458%,29240,6870,1155,0,0
gtp,er,0,2,10,4,2.0,0.000315189361572,0.000312,0.16,99%,63136,37,124,0,0
glp,er,0,2,10,4,2,0.15406,5.64069,0.36,1448%,20884,7230,2791,0,0
snp,er,0,2,10,4,2,9.58442687988e-05,0.000117,0.04,99%,31588,2,13,0,0
nx,er,1,2,10,4,3,0.000323057174683,0.00032,0.15,83%,26328,4,60,0,0
gl,er,1,2,10,4,3,0.203631,2.64437,0.35,907%,24768,8747,960,0,0
gtp,er,1,2,10,4,3.0,0.000304937362671,0.000303,0.15,99%,63128,48,175,0,0
glp,er,1,2,10,4,3,0.210163,7.88867,0.39,1620%,20980,8897,3424,0,0
snp,er,1,2,10,4,2,9.08374786377e-05,0.000113,0.02,99%,31600,1,13,0,0
nx,er,0,3,10,4,2,0.000403881072998,0.000398,0.14,87%,26320,14,25,0,0
gl,er,0,3,10,4,2,0.149969,1.60936,0.28,1335%,22108,7436,1230,0,0
gtp,er,0,3,10,4,2.0,0.000301122665405,0.000299,0.17,99%,63136,51,173,0,0
glp,er,0,3,10,4,2,0.11822,4.77493,0.39,1478%,20784,6803,2179,0,0
snp,er,0,3,10,4,2,9.70363616943e-05,0.000117,0.03,99%,31588,2,2,0,0
nx,er,1,3,10,4,3,0.000239133834839,0.000239,0.06,60%,26328,21,36,0,0
gl,er,1,3,10,4,3,0.177925,2.92586,0.31,1238%,20196,8748,1303,0,0
gtp,er,1,3,10,4,3.0,0.000293016433716,0.000291,0.17,99%,63128,47,103,0,0
glp,er,1,3,10,4,2,0.119528,4.28856,0.32,1623%,22288,6922,2584,0,0
snp,er,1,3,10,4,2,0.000101804733276,0.000116,0.03,93%,31596,2,2,0,0
nx,er,0,4,10,4,2,0.000318050384521,0.000319,0.06,61%,26320,9,77,0,0
gl,er,0,4,10,4,2,0.122328,1.83468,0.24,1070%,23020,6808,783,0,0
gtp,er,0,4,10,4,2.0,0.000305891036987,0.000302,0.17,99%,63136,51,178,0,0
glp,er,0,4,10,4,2,0.153397,6.18728,0.50,1651%,20892,7053,2791,0,0
snp,er,0,4,10,4,1,0.0001220703125,0.000135,0.03,93%,31584,2,9,0,0
nx,er,1,4,10,4,4,0.000346899032593,0.000345,0.15,91%,26324,12,8,0,0
gl,er,1,4,10,4,4,0.184326,2.10673,0.49,885%,21004,9919,1481,0,0
gtp,er,1,4,10,4,3.0,0.000298976898193,0.000298,0.14,99%,63128,47,158,0,0
glp,er,1,4,10,4,4,0.381367,14.2057,0.47,2085%,26104,11490,3886,0,0
snp,er,1,4,10,4,2,0.000115871429443,0.000129,0.01,98%,31596,2,7,0,0
nx,er,0,0,10,8,,,,0.50,70%,26244,81,45,0,1
gl,er,0,0,10,8,0,0.038919,3.22092,0.32,995%,21584,1115,763,0,0
gtp,er,0,0,10,8,,,,0.15,66%,62652,52,164,0,0
glp,er,0,0,10,8,0,1.75307,98.2439,2.45,4113%,20248,64102,49171,0,0
nx,er,1,0,10,8,2,0.000304937362671,0.000303,0.08,94%,26408,28,47,0,0
gl,er,1,0,10,8,2,0.128252,2.84011,0.49,1258%,22072,7273,1459,0,0
