program,type,directed,batch,nodes,modifier,diameter,time,clocktime,system,percent,memory,voluntary,involuntary,faults,exit
gtp,er,1,1,1000,32,3.0,0.132107973099,2.653413,0.23,202%,65308,233,492,0,0
glp,er,1,1,1000,32,3,0.394445,14.0932,1.88,1963%,24324,9649,2569,0,0
snp,er,1,1,1000,32,3,0.00149917602539,0.001515,0.02,98%,31596,2,24,0,0
nx,er,0,2,1000,32,3,24.2397899628,22.82675,0.21,93%,76420,10,761,0,0
gl,er,0,2,1000,32,3,0.261756,2.63054,0.46,1144%,40784,8722,1167,0,0
gtp,er,0,2,1000,32,3.0,0.0587968826294,3.11026,0.30,233%,65172,173,384,0,0
glp,er,0,2,1000,32,6,0.739486,23.1695,1.68,2128%,24956,15740,3924,0,0
snp,er,0,2,1000,32,3,0.00504493713379,0.005034,0.04,99%,31584,3,25,0,0
nx,er,1,2,1000,32,3,28.4513480663,27.157205,0.30,95%,90476,13,733,0,0
gl,er,1,2,1000,32,3,0.242968,3.34056,0.92,1045%,32148,8933,965,0,0
gtp,er,1,2,1000,32,3.0,0.0547461509705,2.258768,0.58,214%,65316,166,437,0,0
glp,er,1,2,1000,32,3,0.507072,18.7211,1.63,2221%,28588,9740,2788,0,0
snp,er,1,2,1000,32,3,0.00149321556091,0.001509,0.02,99%,31596,3,23,0,0
nx,er,0,3,1000,32,3,26.4895951748,17.502109,0.14,66%,76300,23,2273,0,0
gl,er,0,3,1000,32,3,0.258625,3.44848,0.70,1529%,27280,8824,1318,0,0
gtp,er,0,3,1000,32,3.0,0.110976934433,2.677961,0.33,212%,65180,199,513,0,0
glp,er,0,3,1000,32,6,0.695605,22.4666,1.87,2073%,24728,15478,4442,0,0
snp,er,0,3,1000,32,3,0.00529503822327,0.005309,0.03,98%,31584,3,24,0,0
nx,er,1,3,1000,32,3,38.9108600616,25.963702,0.38,66%,90424,19,4632,0,0
gl,er,1,3,1000,32,3,0.251199,4.30689,0.67,1290%,30840,9205,1430,0,0
gtp,er,1,3,1000,32,3.0,0.0840089321136,2.904138,0.38,217%,65328,187,479,0,0
glp,er,1,3,1000,32,3,0.431964,15.6423,1.71,2120%,41240,9707,2730,0,0
snp,er,1,3,1000,32,3,0.00154614448547,0.00153,0.03,98%,31596,2,40,0,0
nx,er,0,4,1000,32,3,26.6388351917,16.718549,0.17,63%,76388,21,2643,0,0
gl,er,0,4,1000,32,3,0.256069,3.88307,0.64,1137%,26604,8891,1378,0,0
gtp,er,0,4,1000,32,3.0,0.150657176971,2.998661,0.17,201%,65180,230,592,0,0
glp,er,0,4,1000,32,6,0.721353,22.7029,2.06,2204%,26140,15848,4091,0,0
snp,er,0,4,1000,32,3,0.00506901741028,0.005086,0.04,99%,31580,3,30,0,0
nx,er,1,4,1000,32,3,40.9324920177,24.129268,0.16,59%,90556,11,4401,0,0
gl,er,1,4,1000,32,3,0.241742,2.7717,0.63,1009%,35892,8961,1241,0,0
gtp,er,1,4,1000,32,3.0,0.10920381546,2.976457,0.26,202%,65308,209,528,0,0
glp,er,1,4,1000,32,3,0.397118,12.8285,1.62,1847%,26124,9563,2057,0,0
snp,er,1,4,1000,32,3,0.00150203704834,0.001518,0.04,98%,31592,3,31,0,0
nx,er,0,0,10000,2,14,688.233724117,612.886804,0.42,89%,84172,15,25104,1,0
gl,er,0,0,10000,2,14,6.59663,296.111,226.01,4106%,468384,46354,4328,0,0
gtp,er,0,0,10000,2,14.0,0.210380077362,5.782593,0.22,355%,67016,258,541,0,0
glp,er,0,0,10000,2,10,1.10461,50.0875,11.76,2867%,47836,25430,8529,0,0
snp,er,0,0,10000,2,11,0.00594282150269,0.005967,0.03,98%,33460,3,29,0,0
nx,er,1,0,10000,2,0,5.22136688232e-05,7.10000000002e-05,0.17,76%,91556,10,206,0,0
gl,er,1,0,10000,2,31,10.9554,483.925,412.32,4156%,650840,80086,7516,0,0
gtp,er,1,0,10000,2,22.0,0.134943008423,2.545454,0.18,228%,67080,245,435,0,0
glp,er,1,0,10000,2,23,2.31793,86.2856,13.49,2929%,54640,52931,17677,0,0
snp,er,1,0,10000,2,0,0.000556945800781,0.000574,0.03,99%,33904,3,27,0,0
nx,er,0,1,10000,2,14,586.741378069,567.947518,0.33,96%,84092,11,11280,0,0
gl,er,0,1,10000,2,14,6.58514,300.625,229.22,4174%,466936,45445,4572,0,0
gtp,er,0,1,10000,2,14.0,0.163545131683,4.208088,0.25,296%,67008,241,551,0,0
glp,er,0,1,10000,2,11,1.09622,48.8096,12.42,2775%,43396,27771,9967,0,0
snp,er,0,1,10000,2,10,0.00585079193115,0.005865,0.04,99%,33460,3,26,0,0
nx,er,1,1,10000,2,0,8.10623168945e-05,0.000102,0.17,65%,91572,9,342,0,0
gl,er,1,1,10000,2,33,11.2786,501.279,427.52,4189%,648976,82142,7194,0,0
gtp,er,1,1,10000,2,25.0,0.142910003662,3.998148,0.18,305%,67016,220,370,0,0
glp,er,1,1,10000,2,25,2.45884,88.0251,13.50,2876%,45532,57186,18118,0,0
snp,er,1,1,10000,2,23,0.00285792350769,0.002875,0.03,99%,33904,2,27,0,0
nx,er,0,2,10000,2,17,727.173634052,609.182339,0.45,83%,84080,30,34207,0,0
gl,er,0,2,10000,2,17,7.42545,334.324,263.33,4171%,464840,49636,4664,0,0
gtp,er,0,2,10000,2,17.0,0.128780126572,4.260567,0.37,308%,67004,199,418,0,0
glp,er,0,2,10000,2,14,1.38292,56.6594,12.37,2780%,44768,33957,11396,0,0
snp,er,0,2,10000,2,12,0.00588893890381,0.005905,0.04,99%,33460,3,28,0,0
nx,er,1,2,10000,2,0,7.82012939453e-05,0.000102,0.35,86%,91640,12,181,0,0
gl,er,1,2,10000,2,33,10.0738,437.332,365.24,4067%,652772,79037,6762,0,0
gtp,er,1,2,10000,2,24.0,0.127274036407,2.72726,0.36,240%,67016,205,485,0,0
glp,er,1,2,10000,2,23,2.31653,81.9522,13.47,2795%,48880,52972,14758,0,0
snp,er,1,2,10000,2,22,0.00291299819946,0.002929,0.04,98%,33904,2,30,0,0
nx,er,0,3,10000,2,15,667.3659091,596.699739,0.48,89%,84140,10,26030,0,0
gl,er,0,3,10000,2,15,7.53366,338.544,265.52,4147%,467948,50507,7667,0,0
gtp,er,0,3,10000,2,15.0,0.115260124207,3.221273,0.34,273%,67012,219,397,0,0
glp,er,0,3,10000,2,13,1.3568,57.9724,12.58,2909%,43208,32317,11855,0,0
snp,er,0,3,10000,2,12,0.0059769153595,0.005988,0.03,98%,33460,3,29,0,0
nx,er,1,3,10000,2,0,9.20295715332e-05,0.000139,0.31,82%,91588,45,104,28,0
gl,er,1,3,10000,2,35,10.1618,431.95,360.46,3989%,650620,81266,12733,0,0
gtp,er,1,3,10000,2,25.0,0.134979009628,2.968077,0.19,236%,71172,213,438,0,0
glp,er,1,3,10000,2,25,2.58706,94.9618,13.60,2965%,49552,57220,18699,0,0
snp,er,1,3,10000,2,0,0.000542163848877,0.000557,0.03,99%,33904,3,28,0,0
nx,er,0,4,10000,2,15,845.839372873,629.460312,0.36,74%,83804,29,56873,0,0
gl,er,0,4,10000,2,15,7.33588,329.455,258.41,4131%,461552,49697,4626,0,0
gtp,er,0,4,10000,2,15.0,0.137810945511,4.716305,0.37,332%,67012,202,382,0,0
glp,er,0,4,10000,2,10,1.38272,58.6188,16.07,2842%,53276,26629,7173,0,0
snp,er,0,4,10000,2,11,0.00590801239014,0.005926,0.03,99%,33460,3,27,0,0
nx,er,1,4,10000,2,0,9.10758972168e-05,0.000129,0.28,69%,91688,28,537,0,0
gl,er,1,4,10000,2,30,10.5416,470.945,399.09,4209%,652532,76143,6381,0,0
gtp,er,1,4,10000,2,20.0,0.130968093872,2.765067,0.24,244%,67008,224,471,0,0
glp,er,1,4,10000,2,24,2.78733,107.529,15.55,2998%,45152,55671,17705,0,0
snp,er,1,4,10000,2,22,0.00297808647156,0.002994,0.02,99%,33904,2,27,0,0
nx,er,0,0,10000,4,8,1184.65596199,909.95997,0.56,76%,123244,25,76082,0,0
gl,er,0,0,10000,4,8,5.09133,234.143,162.89,4081%,488512,35120,3781,0,0
gtp,er,0,0,10000,4,8.0,0.153888940811,4.32873,0.34,222%,68016,201,531,0,0
glp,er,0,0,10000,4,16,2.00021,84.4443,13.20,3116%,55676,38791,13605,0,0
snp,er,0,0,10000,4,7,0.00949501991272,0.009513,0.02,99%,33456,3,30,0,0
nx,er,1,0,10000,4,0,0.000181913375854,0.000194,0.28,99%,131424,10,34,0,0
gl,er,1,0,10000,4,15,8.22743,372.879,300.23,4194%,729484,54376,4862,0,0
gtp,er,1,0,10000,4,11.0,0.146976947784,2.869871,0.32,182%,67896,220,624,0,0
glp,er,1,0,10000,4,11,1.27507,54.1735,13.17,2841%,55808,28116,8940,0,0
snp,er,1,0,10000,4,11,0.0048360824585,0.004856,0.03,98%,34112,3,32,0,0
nx,er,0,1,10000,4,8,1107.75228,957.413373,0.94,86%,123176,8,47929,0,0
gl,er,0,1,10000,4,8,4.96281,225.673,156.52,4032%,493684,35014,3446,0,0
gtp,er,0,1,10000,4,8.0,0.172299861908,4.045444,0.34,212%,68012,240,641,0,0
glp,er,0,1,10000,4,14,1.58172,64.0111,13.09,2911%,49264,34069,10390,0,0
snp,er,0,1,10000,4,7,0.00957202911377,0.009589,0.02,97%,33460,3,32,0,0
nx,er,1,1,10000,4,0,6.91413879395e-05,9.60000000001e-05,0.39,90%,131724,15,135,0,0
gl,er,1,1,10000,4,15,8.30377,384.477,311.26,4256%,720792,54825,5635,0,0
gtp,er,1,1,10000,4,11.0,0.0934638977051,3.317384,0.42,211%,67896,187,486,0,0
glp,er,1,1,10000,4,12,1.52985,65.0183,12.54,2909%,59012,30206,9714,0,0
snp,er,1,1,10000,4,11,0.00452995300293,0.004548,0.03,97%,34116,2,35,0,0
nx,er,0,2,10000,4,8,1129.84713912,859.385774,0.37,75%,123156,11,72677,0,0
gl,er,0,2,10000,4,8,4.84932,221.953,151.43,4027%,477688,34268,3682,0,0
gtp,er,0,2,10000,4,8.0,0.156985044479,4.775464,0.41,239%,68044,248,635,0,0
glp,er,0,2,10000,4,15,1.69244,69.6012,13.18,2928%,45504,36577,12440,0,0
snp,er,0,2,10000,4,7,0.0095751285553,0.009592,0.03,99%,33460,3,35,0,0
nx,er,1,2,10000,4,0,4.81605529785e-05,6.49999999993e-05,31.22,54%,131396,20,4589,0,0
gl,er,1,2,10000,4,15,8.14132,375.657,300.52,4245%,721556,53613,5311,0,0
gtp,er,1,2,10000,4,11.0,0.100581169128,2.363621,0.26,190%,67892,182,479,0,0
glp,er,1,2,10000,4,11,1.39521,60.8396,15.41,2852%,47276,28326,7996,0,0
snp,er,1,2,10000,4,11,0.0045690536499,0.004586,0.02,96%,34108,3,32,0,0
nx,er,0,3,10000,4,8,1076.59633398,967.614432,0.53,89%,123172,25,37007,0,0
gl,er,0,3,10000,4,8,4.81255,220.794,151.51,4053%,479988,32423,3531,0,0
gtp,er,0,3,10000,4,8.0,0.135025024414,4.270363,0.29,225%,68020,218,475,0,0
glp,er,0,3,10000,4,14,1.62406,69.221,18.55,2891%,47492,34215,10224,0,0
snp,er,0,3,10000,4,7,0.00953483581543,0.009551,0.04,99%,33456,3,30,0,0
nx,er,1,3,10000,4,0,6.79492950439e-05,9.60000000001e-05,2.31,89%,131472,18,191,0,0
gl,er,1,3,10000,4,14,7.78756,354.237,281.72,4151%,719776,52418,5951,0,0
gtp,er,1,3,10000,4,11.0,0.160726070404,4.459151,0.18,231%,67976,232,624,0,0
glp,er,1,3,10000,4,11,1.45737,63.2579,12.30,2987%,46200,27436,9193,0,0
snp,er,1,3,10000,4,11,0.00454688072205,0.004565,0.03,96%,34112,3,26,0,0
nx,er,0,4,10000,4,8,860.546639919,859.974778,0.40,99%,123272,15,4647,0,0
gl,er,0,4,10000,4,8,5.07811,237.379,166.43,4141%,480336,33682,3453,0,0
gtp,er,0,4,10000,4,8.0,0.112613916397,3.627296,0.30,207%,68024,219,565,0,0
glp,er,0,4,10000,4,14,1.77188,75.8538,13.26,3090%,49672,34053,11716,0,0
snp,er,0,4,10000,4,6,0.0097291469574,0.009754,0.02,99%,33460,3,37,0,0
nx,er,1,4,10000,4,0,6.79492950439e-05,8.50000000003e-05,0.40,92%,131476,12,128,3,0
gl,er,1,4,10000,4,15,7.44258,338.99,265.87,4174%,715300,52079,4696,0,0
gtp,er,1,4,10000,4,12.0,0.123641014099,4.13491,0.21,227%,68112,203,533,0,0
glp,er,1,4,10000,4,11,1.28113,60.2059,19.17,2932%,59760,31380,8121,0,0
snp,er,1,4,10000,4,11,0.00450205802917,0.00452,0.03,98%,34112,3,31,0,0
nx,er,0,0,10000,8,6,1749.85194802,1533.554571,1.17,87%,181668,14,71626,0,0
gl,er,0,0,10000,8,6,4.55743,213.033,136.13,4007%,480760,30670,3765,0,0
gtp,er,0,0,10000,8,5.0,0.13001704216,2.980549,0.39,148%,69892,229,986,0,0
glp,er,0,0,10000,8,14,1.93592,76.5757,13.14,2908%,62856,34433,9857,0,0
snp,er,0,0,10000,8,5,0.016471862793,0.016491,0.04,99%,33788,3,46,0,0
nx,er,1,0,10000,8,0,0.000112056732178,0.000163,0.62,93%,218372,17,304,0,0
gl,er,1,0,10000,8,8,5.54469,250.975,181.55,4037%,726248,40634,3689,0,0
gtp,er,1,0,10000,8,7.0,0.0824909210205,2.848312,0.37,153%,70032,207,616,0,0
glp,er,1,0,10000,8,7,0.958259,44.3275,13.49,2611%,47484,19924,5356,0,0
snp,er,1,0,10000,8,7,0.00660514831543,0.006624,0.03,99%,34388,3,29,0,0
nx,er,0,1,10000,8,5,1550.96468782,1320.085856,0.62,85%,181200,12,63083,0,0
gl,er,0,1,10000,8,5,4.14675,187.803,112.27,3832%,480200,28462,3520,0,0
gtp,er,0,1,10000,8,5.0,0.167769908905,3.498349,0.39,156%,69888,207,811,0,0
glp,er,0,1,10000,8,14,1.91649,83.3186,19.51,2941%,48012,37969,10104,0,0
snp,er,0,1,10000,8,5,0.0164880752563,0.016504,0.03,99%,33788,3,30,0,0
nx,er,1,1,10000,8,0,8.39233398438e-05,0.000164000000001,0.88,93%,218304,10,617,0,0
gl,er,1,1,10000,8,8,5.35957,237.827,166.43,3873%,730736,40704,4516,0,0
gtp,er,1,1,10000,8,7.0,0.121999025345,2.537445,0.19,142%,69992,204,696,0,0
glp,er,1,1,10000,8,7,0.877334,39.8372,12.02,2674%,50092,19259,5586,0,0
snp,er,1,1,10000,8,7,0.00668406486511,0.006671,0.04,99%,34376,3,47,0,0
nx,er,0,2,10000,8,6,1736.39812303,1735.242579,0.67,99%,181308,8,8059,0,0
gl,er,0,2,10000,8,6,4.15648,189.259,112.46,3827%,481936,28927,3536,0,0
gtp,er,0,2,10000,8,5.0,0.0579149723053,2.929137,0.41,153%,69884,166,606,0,0
glp,er,0,2,10000,8,14,2.0327,81.5254,12.49,3019%,48312,34638,10815,0,0
snp,er,0,2,10000,8,5,0.0166478157043,0.016604,0.02,99%,33788,3,49,0,0
nx,er,1,2,10000,8,0,4.6968460083e-05,6.40000000001e-05,0.65,94%,218268,16,153,0,0
gl,er,1,2,10000,8,8,5.36675,237.456,167.29,3901%,730224,40617,7192,0,0
gtp,er,1,2,10000,8,7.0,0.168518066406,3.885996,0.34,166%,70000,230,744,0,0
glp,er,1,2,10000,8,7,0.9187,36.7364,11.71,2463%,48732,19451,3912,0,0
snp,er,1,2,10000,8,6,0.00657105445862,0.006587,0.05,99%,34372,2,57,0,0
nx,er,0,3,10000,8,5,1786.05875492,1507.962226,0.85,84%,181764,22,83784,0,0
gl,er,0,3,10000,8,5,4.38187,200.663,123.42,3898%,480284,30185,6570,0,0
gtp,er,0,3,10000,8,5.0,0.146151065826,3.394307,0.18,156%,73992,254,660,0,0
glp,er,0,3,10000,8,14,1.89581,78.2593,12.93,3049%,49160,34213,10894,0,0
snp,er,0,3,10000,8,5,0.0165369510651,0.016555,0.02,97%,33788,3,26,0,0
nx,er,1,3,10000,8,0,4.79221343994e-05,5.90000000003e-05,0.36,59%,218248,12,999,0,0
gl,er,1,3,10000,8,8,5.41706,244.156,174.47,3986%,728700,39751,5090,0,0
gtp,er,1,3,10000,8,7.0,0.132240056992,2.70847,0.18,144%,70036,230,691,0,0
glp,er,1,3,10000,8,7,1.06411,49.5259,12.33,2853%,48064,19498,5856,0,0
snp,er,1,3,10000,8,7,0.00651478767395,0.006533,0.06,99%,34372,3,23,0,0
nx,er,0,4,10000,8,5,1605.38533711,1424.041181,0.96,88%,181692,14,66152,0,0
gl,er,0,4,10000,8,5,4.12503,196.232,119.41,4031%,480096,24449,2893,0,0
gtp,er,0,4,10000,8,5.0,0.130602836609,3.002101,0.37,148%,69896,212,638,0,0
glp,er,0,4,10000,8,15,2.02794,79.743,12.92,2901%,51936,36289,11197,0,0
snp,er,0,4,10000,8,5,0.0167248249054,0.016719,0.02,99%,33784,1,24,0,0
nx,er,1,4,10000,8,0,7.9870223999e-05,9.90000000005e-05,0.50,99%,218092,9,49,0,0
gl,er,1,4,10000,8,8,5.68369,258.485,188.44,4059%,732740,39553,4115,0,0
gtp,er,1,4,10000,8,7.0,0.142168998718,2.867193,0.23,147%,70028,244,858,0,0
glp,er,1,4,10000,8,7,0.988325,44.4401,12.13,2670%,59788,19472,5556,0,0
snp,er,1,4,10000,8,7,0.0066180229187,0.006635,0.04,99%,34380,3,24,0,0
nx,er,0,0,10000,16,4,3113.30321121,2755.592267,1.70,88%,351308,40,120679,0,0
gl,er,0,0,10000,16,4,3.91353,181.094,61.41,3665%,482680,42306,3186,0,0
gtp,er,0,0,10000,16,4.0,0.0590269565582,3.018179,0.42,130%,73816,166,920,0,0
glp,er,0,0,10000,16,12,1.83959,73.5615,12.91,2830%,50660,29904,8725,0,0
snp,er,0,0,10000,16,4,0.0320827960968,0.030746,0.04,98%,34844,3,36,0,0
nx,er,1,0,10000,16,5,2195.51613402,1947.895396,0.94,88%,353372,8,63956,0,0
gl,er,1,0,10000,16,5,4.94812,219.127,135.39,3832%,739048,37680,3343,0,0
gtp,er,1,0,10000,16,5.0,0.13894701004,2.817489,0.26,125%,74296,235,1018,0,0
glp,er,1,0,10000,16,5,0.692382,34.2971,12.44,2466%,54884,15264,2738,0,0
snp,er,1,0,10000,16,5,0.01038813591,0.010406,0.02,99%,35432,1,38,0,0
nx,er,0,1,10000,16,4,3884.88709283,2226.727265,43.99,57%,351404,103,377866,0,0
gl,er,0,1,10000,16,4,4.14778,186.517,68.92,3642%,478944,43308,3677,0,0
gtp,er,0,1,10000,16,4.0,0.120362043381,2.6826,0.24,123%,73816,215,957,0,0
glp,er,0,1,10000,16,13,1.931,75.2908,12.46,2819%,55952,32089,9589,0,0
snp,er,0,1,10000,16,4,0.0305471420288,0.030566,0.02,99%,34844,3,34,0,0
nx,er,1,1,10000,16,5,3037.52422905,2685.921816,3.59,88%,354008,56,122012,27,0
gl,er,1,1,10000,16,5,4.8521,224.752,141.83,4009%,731968,36730,3402,0,0
gtp,er,1,1,10000,16,5.0,0.0583090782166,2.994903,0.63,129%,74340,169,842,0,0
glp,er,1,1,10000,16,5,0.857794,47.3509,17.30,2734%,66132,18388,4618,0,0
snp,er,1,1,10000,16,5,0.0102880001068,0.010305,0.04,99%,35420,3,35,0,0
nx,er,0,2,10000,16,4,3593.35155511,3133.508525,2.45,87%,351176,30,125504,0,0
gl,er,0,2,10000,16,4,4.01932,185.058,66.62,3735%,489060,41099,3086,0,0
gtp,er,0,2,10000,16,4.0,0.157619953156,3.286326,0.28,127%,73788,220,1048,0,0
glp,er,0,2,10000,16,12,1.77772,71.7873,12.21,2780%,51072,29805,9331,0,0
snp,er,0,2,10000,16,4,0.0306217670441,0.030617,0.03,99%,34844,3,35,0,0
nx,er,1,2,10000,16,5,2892.21247292,2545.136583,3.78,88%,353756,31,118776,0,0
gl,er,1,2,10000,16,5,4.88786,223.627,139.86,3981%,731572,37560,3676,0,0
gtp,er,1,2,10000,16,5.0,0.142180919647,2.905144,0.31,124%,74340,214,985,0,0
glp,er,1,2,10000,16,5,0.726697,35.6722,12.43,2514%,51072,15028,4084,0,0
snp,er,1,2,10000,16,5,0.0103268623352,0.010324,0.04,99%,35420,3,35,0,0
nx,er,0,3,10000,16,4,3542.24542499,3088.082893,2.17,87%,351204,10,153170,0,0
gl,er,0,3,10000,16,4,3.98177,178.098,60.69,3635%,479392,41910,3532,0,0
gtp,er,0,3,10000,16,4.0,0.145621776581,2.922514,0.41,126%,73776,247,1345,0,0
glp,er,0,3,10000,16,12,1.82732,74.0641,12.44,2848%,59052,29982,9644,0,0
snp,er,0,3,10000,16,4,0.0309090614319,0.030894,0.02,99%,34840,2,35,0,0
nx,er,1,3,10000,16,5,3166.20097685,2654.673649,1.89,83%,353984,23,144496,0,0
gl,er,1,3,10000,16,5,5.24035,240.643,157.27,3997%,730544,40301,3881,0,0
gtp,er,1,3,10000,16,5.0,0.14192700386,2.732114,0.23,124%,74324,251,1206,0,0
glp,er,1,3,10000,16,5,0.888367,42.9915,11.95,2682%,51232,14899,4687,0,0
snp,er,1,3,10000,16,5,0.0103271007538,0.010347,0.04,99%,35420,3,22,0,0
nx,er,0,4,10000,16,4,3875.98683596,2189.351362,50.21,56%,351288,78,389425,0,0
gl,er,0,4,10000,16,4,3.94656,186.514,69.13,3794%,483340,38962,2743,0,0
gtp,er,0,4,10000,16,4.0,0.146353006363,3.114728,0.23,126%,73800,248,1276,0,0
glp,er,0,4,10000,16,12,1.76998,70.8055,14.02,2787%,62328,30237,8992,0,0
snp,er,0,4,10000,16,4,0.0305988788605,0.030639,0.04,99%,34844,3,21,0,0
nx,er,1,4,10000,16,5,2800.79389,2309.229975,1.35,82%,353608,14,139437,0,0
gl,er,1,4,10000,16,5,5.10431,234.168,150.03,4012%,736728,38870,3370,0,0
gtp,er,1,4,10000,16,5.0,0.121049165726,2.61779,0.20,125%,74308,224,963,0,0
glp,er,1,4,10000,16,5,0.796378,39.5397,12.58,2602%,50692,15344,4588,0,0
snp,er,1,4,10000,16,5,0.0125739574432,0.012601,0.03,99%,35424,3,33,0,0
nx,er,0,0,10000,32,3,6561.485852,5811.802179,3.94,88%,533288,25,252427,0,0
gl,er,0,0,10000,32,3,3.70053,176.501,39.33,3648%,507012,20590,2768,0,0
gtp,er,0,0,10000,32,3.0,0.129670858383,3.149109,0.23,113%,81380,226,1568,0,0
glp,er,0,0,10000,32,11,1.87277,77.4785,13.08,2774%,58912,28256,8650,0,0
snp,er,0,0,10000,32,3,0.0600821971893,0.060036,0.05,99%,36952,2,62,0,0
nx,er,1,0,10000,32,4,6882.07494187,6035.90253,3.91,87%,673968,8,272472,0,0
gl,er,1,0,10000,32,4,5.11134,225.022,93.25,3767%,746420,57906,4129,0,0
gtp,er,1,0,10000,32,4.0,0.0730500221252,3.864581,0.23,117%,82832,166,1368,0,0
glp,er,1,0,10000,32,4,0.697418,34.4166,12.43,2277%,64936,13154,3252,0,0
snp,er,1,0,10000,32,4,0.0179789066315,0.017972,0.04,99%,37520,3,53,0,0
nx,er,0,1,10000,32,3,6715.71158218,5876.176915,5.71,87%,533560,81,261581,0,0
gl,er,0,1,10000,32,3,3.6246,167.969,31.15,3504%,498476,21557,2947,0,0
gtp,er,0,1,10000,32,3.0,0.0678679943085,3.490417,0.61,116%,81308,166,1501,0,0
glp,er,0,1,10000,32,11,1.72486,66.0472,12.96,2577%,56560,27157,4109,0,0
snp,er,0,1,10000,32,3,0.0597140789032,0.059585,0.04,99%,36956,3,56,0,0
nx,er,1,1,10000,32,4,5628.03251886,5142.064375,1.98,91%,673648,12,147665,0,0
gl,er,1,1,10000,32,4,4.90195,216.411,84.00,3721%,754104,56619,3990,0,0
gtp,er,1,1,10000,32,4.0,0.0722570419312,3.124197,0.44,117%,82812,173,1410,0,0
glp,er,1,1,10000,32,4,0.704135,34.817,11.69,2265%,65168,12769,3521,0,0
snp,er,1,1,10000,32,4,0.0178301334381,0.017848,0.04,99%,37264,3,20,0,0
nx,er,0,2,10000,32,3,5688.73170304,5200.530502,2.29,91%,532876,24,183734,0,0
gl,er,0,2,10000,32,3,3.64941,171.615,34.63,3584%,500260,20919,2770,0,0
gtp,er,0,2,10000,32,3.0,0.145107030869,3.167151,0.23,112%,81184,252,1644,0,0
glp,er,0,2,10000,32,10,1.76348,73.9441,12.75,2819%,59360,25621,7016,0,0
snp,er,0,2,10000,32,3,0.0595300197601,0.059498,0.03,99%,36956,2,64,0,0
nx,er,1,2,10000,32,4,4188.78516197,4187.396988,1.39,99%,674184,10,10293,0,0
gl,er,1,2,10000,32,4,4.83752,213.094,81.91,3698%,742740,57110,4204,0,0
gtp,er,1,2,10000,32,4.0,0.122424840927,2.963453,0.24,114%,82828,225,1641,0,0
glp,er,1,2,10000,32,4,0.668445,34.3666,12.97,2294%,61804,13195,2353,0,0
snp,er,1,2,10000,32,4,0.0177290439606,0.017748,0.04,99%,37260,3,16,0,0
nx,er,0,3,10000,32,3,6774.91024518,5989.810638,3.41,88%,532856,22,251409,0,0
gl,er,0,3,10000,32,3,3.6954,174.542,38.22,3611%,504052,20298,3334,0,0
gtp,er,0,3,10000,32,3.0,0.118505001068,3.379223,0.33,114%,81132,166,1650,0,0
glp,er,0,3,10000,32,11,5.25951,83.4756,12.75,1462%,60968,27840,8311,0,0
snp,er,0,3,10000,32,3,0.0594639778137,0.059484,0.07,99%,36956,3,20,0,0
nx,er,1,3,10000,32,4,5124.30811501,4642.961324,2.29,90%,673748,10,147788,0,0
gl,er,1,3,10000,32,4,5.00204,225.098,88.38,3831%,740640,56686,3483,0,0
gtp,er,1,3,10000,32,4.0,0.137137889862,3.011312,0.25,112%,82840,209,1576,0,0
glp,er,1,3,10000,32,4,0.748515,36.808,11.98,2302%,58460,13083,3464,0,0
snp,er,1,3,10000,32,4,0.0192058086395,0.019226,0.03,99%,37260,3,21,0,0
nx,er,0,4,10000,32,3,4759.45357585,4757.547097,1.53,99%,533768,5,13909,0,0
gl,er,0,4,10000,32,3,3.65653,174.033,35.49,3610%,498380,19767,2887,0,0
gtp,er,0,4,10000,32,3.0,0.141258001328,3.075013,0.26,113%,81204,218,1642,0,0
glp,er,0,4,10000,32,11,1.74202,70.4843,13.09,2660%,56232,27843,6647,0,0
snp,er,0,4,10000,32,3,0.0602471828461,0.060264,0.06,99%,36956,2,20,0,0
nx,er,1,4,10000,32,4,6116.88177013,5322.119848,3.91,87%,673924,17,235207,0,0
gl,er,1,4,10000,32,4,5.17063,235.178,98.26,3883%,737628,56139,3306,0,0
gtp,er,1,4,10000,32,4.0,0.0999710559845,3.658428,0.48,115%,82820,173,1419,0,0
glp,er,1,4,10000,32,4,0.794961,39.4838,12.05,2488%,58024,12969,3057,0,0
snp,er,1,4,10000,32,4,0.0183219909668,0.018341,0.06,99%,37264,3,5,0,0
nx,er,0,0,100000,2,17,87478.1970949,80078.519906,16.80,91%,587764,149,2882711,10,0
gl,er,0,0,100000,2,17,725.775,37519.7,29253.32,5106%,43565164,3194882,359874,0,0
gtp,er,0,0,100000,2,17.0,0.292359113693,6.641202,0.23,133%,102296,315,1183,0,0
glp,er,0,0,100000,2,12,3.91,284.855,191.87,4018%,241236,44088,6940,0,0
snp,er,0,0,100000,2,13,0.0939230918884,0.093948,0.08,99%,54488,3,3,0,0
nx,er,1,0,100000,2,0,0.000181198120117,0.000210000000003,1.44,94%,624580,28,1279,0,0
gl,er,1,0,100000,2,37,1505.83,80261.7,71012.89,5290%,61809964,4088343,744607,52,0
gtp,er,1,0,100000,2,27.0,0.178899049759,4.282763,0.26,121%,102188,270,1517,0,0
glp,er,1,0,100000,2,26,8.95766,526.247,352.01,4312%,246000,77573,13535,0,0
